ACCELEROMETER X (m/sÂ²),ACCELEROMETER Y (m/sÂ²),ACCELEROMETER Z (m/sÂ²),GRAVITY X (m/sÂ²),GRAVITY Y (m/sÂ²),GRAVITY Z (m/sÂ²),LINEAR ACCELERATION X (m/sÂ²),LINEAR ACCELERATION Y (m/sÂ²),LINEAR ACCELERATION Z (m/sÂ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (Î¼T),MAGNETIC FIELD Y (Î¼T),MAGNETIC FIELD Z (Î¼T),ORIENTATION Z (azimuth Â°),ORIENTATION X (pitch Â°),ORIENTATION Y (roll Â°),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (Â°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0383,6.5049,8.7754,-1.6963,5.8714,7.6694,-0.2327,0.0784,1.2828,-0.2747,-0.5838,0.2464,46.4546,-6.3,-42,-35.4,136.13,-36.78,12.47,2,1003.14,38.639,,,,NaN,,,,,0 / 18,11,2018-03-09 10:29:29:306
-0.6419,5.9396,8.1335,-1.1032,5.6152,7.9638,0.4311,0.316,0.1028,0.0417,-0.0367,0.0216,45.8394,-9.45,-39.15,-37.95,128.22,-34.93,7.89,2,1003.13,52.014,,,,NaN,,,,,0 / 18,511,2018-03-09 10:29:29:806
-1.4945,6.4187,7.3862,-1.7474,6.1979,7.3961,0.5885,0.2832,0.2175,0.2868,0.22,0.0253,46.3199,-8.1,-41.7,-37.35,133.54,-36.24,9,2,1003.13,39.864,,,,NaN,,,,,0 / 18,1012,2018-03-09 10:29:30:307
-1.2167,6.2079,7.6641,-1.7195,5.9601,7.5954,0.4608,0.3515,0.4438,-0.0669,-0.0612,-0.013,46.5753,-5.55,-42.6,-34.65,135.16,-37.83,13.19,2,1003.12,40.764,,,,NaN,,,,,0 / 18,1511,2018-03-09 10:29:30:806
-1.5328,6.6629,7.4629,-1.8265,6.1475,7.4191,0.3386,0.2686,0.6404,0.3821,0.3164,0.0328,45.7071,-2.55,-44.25,-30.75,144.16,-38.17,12.38,2,1003.12,38.678,,,,NaN,,,,,0 / 18,2011,2018-03-09 10:29:31:306
-1.3316,6.5528,7.9994,-1.628,6.2337,7.3933,0.4098,0.3327,0.3283,0.0642,-0.0713,0.0109,44.3468,-4.05,-45.3,-32.85,142.95,-39.48,12.77,2,1003.12,40.197,,,,NaN,,,,,0 / 18,2512,2018-03-09 10:29:31:807
-0.4503,6.7108,8.282,-0.4461,5.9825,7.7576,-0.689,0.682,-0.2163,-0.0413,-0.1965,0.2479,42.6731,-11.1,-41.55,-35.4,129.53,-38.34,6.05,2,1003.11,46.038,,,,NaN,,,,,0 / 18,3011,2018-03-09 10:29:32:306
-0.6035,4.4883,8.0712,-0.1274,7.0733,6.7914,1.8181,-2.2467,-0.3683,0.2245,-0.2055,0.0013,44.3932,-15,-46.8,-26.85,139.89,-38.52,5.88,2,1003.12,53.886,,,,NaN,,,,,0 / 18,3511,2018-03-09 10:29:32:806
4.9912,7.6976,6.9264,0.4233,5.8962,7.8247,-0.7792,0.6682,-1.3671,0.4141,-0.0223,-0.1675,43.5529,-16.2,-40.65,-36,129.39,-35.63,-2.16,2,1003.13,45.801,,,,NaN,,,,,0 / 18,4011,2018-03-09 10:29:33:306
0.2443,6.275,7.3431,0.2537,5.8164,7.8915,0.5896,0.3657,0.0014,0.208,0.187,-0.0296,45.4518,-14.85,-41.1,-35.7,129.45,-36.38,-1.84,2,1003.12,41.235,,,,NaN,,,,,0 / 18,4512,2018-03-09 10:29:33:807
